order_id,client_id,product_type,box_size,quantity,delivery_date,order_date,material_bom
PO-2022-0036,Nestle India,small_std,small,68772,2023-01-10,2022-12-13,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0037,Dabur India,small_std,small,45308,2022-02-05,2022-01-08,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0038,Hindustan Unilever,small_std,small,63914,2022-04-09,2022-03-11,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0039,Parle Products,large_premium,large,55898,2022-11-26,2022-10-13,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0040,Nestle India,small_printed,small,62283,2022-09-26,2022-09-06,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0041,Britannia,large_premium,large,35461,2022-05-20,2022-04-10,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0042,Hindustan Unilever,large_premium,large,8608,2023-05-11,2023-04-24,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0043,Hindustan Unilever,large_premium,large,24357,2023-03-18,2023-02-17,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0044,Parle Products,medium_std,medium,38437,2022-08-26,2022-07-16,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0045,Hindustan Unilever,large_std,large,33742,2022-08-18,2022-07-07,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO-2022-0046,Dabur India,small_std,small,7474,2023-08-06,2023-07-18,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0047,Marico,medium_std,medium,31932,2022-09-27,2022-08-31,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0048,Dabur India,small_std,small,13877,2023-03-25,2023-02-15,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0049,Marico,small_printed,small,25073,2022-10-22,2022-09-29,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0050,Dabur India,large_std,large,18127,2022-07-31,2022-07-14,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO-2022-0051,Marico,small_std,small,14191,2022-12-12,2022-11-18,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0052,Parle Products,medium_printed,medium,8806,2022-03-18,2022-02-28,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0053,Nestle India,small_std,small,52858,2023-10-11,2023-09-02,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0054,Dabur India,medium_printed,medium,20650,2022-05-22,2022-05-03,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0055,ITC Foods,large_premium,large,44873,2023-04-05,2023-03-06,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0056,Nestle India,large_premium,large,49906,2022-08-28,2022-07-29,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0057,Godrej Consumer,medium_std,medium,44300,2023-03-25,2023-02-10,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0058,Hindustan Unilever,small_std,small,9230,2022-12-08,2022-11-20,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0059,Parle Products,medium_std,medium,36499,2023-08-10,2023-07-05,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0060,Parle Products,medium_std,medium,30096,2022-04-23,2022-03-12,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0061,Dabur India,large_premium,large,23534,2023-08-13,2023-07-11,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0062,Parle Products,small_std,small,122178,2023-12-11,2023-11-11,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0063,Parle Products,small_std,small,57646,2022-05-30,2022-04-29,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0064,ITC Foods,medium_printed,medium,28075,2022-11-12,2022-10-16,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0065,Marico,large_premium,large,96555,2024-01-04,2023-12-05,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0066,Godrej Consumer,small_std,small,42056,2022-03-10,2022-02-22,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0067,Godrej Consumer,large_std,large,49009,2022-01-28,2022-01-04,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO-2022-0068,Dabur India,medium_printed,medium,53291,2023-04-19,2023-03-29,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0069,Dabur India,large_premium,large,66970,2022-04-25,2022-03-19,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0070,Parle Products,medium_printed,medium,14496,2023-09-05,2023-08-20,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0071,Dabur India,large_std,large,117325,2022-12-18,2022-11-12,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO-2022-0072,Hindustan Unilever,large_premium,large,21342,2022-09-09,2022-08-04,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0073,Parle Products,small_printed,small,66331,2023-08-26,2023-07-28,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0074,Dabur India,medium_std,medium,58306,2022-07-11,2022-06-16,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0075,Nestle India,small_printed,small,91233,2023-01-07,2022-12-07,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0076,Dabur India,large_premium,large,10747,2022-07-27,2022-06-13,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0077,Marico,medium_std,medium,59618,2022-09-21,2022-08-16,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0078,Nestle India,medium_std,medium,35184,2022-12-18,2022-11-09,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0079,Godrej Consumer,large_std,large,97756,2023-01-08,2022-12-03,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO-2022-0080,ITC Foods,medium_printed,medium,47216,2023-11-03,2023-10-19,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0081,Godrej Consumer,large_std,large,17472,2022-05-15,2022-04-29,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO-2022-0082,ITC Foods,medium_printed,medium,35712,2022-06-02,2022-04-22,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0083,Nestle India,medium_printed,medium,12989,2023-10-13,2023-09-13,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0084,Nestle India,large_premium,large,30163,2022-03-24,2022-02-15,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0085,ITC Foods,small_std,small,70071,2023-04-21,2023-03-18,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0086,Godrej Consumer,small_std,small,95549,2023-12-14,2023-11-11,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0087,Godrej Consumer,small_printed,small,47730,2023-12-06,2023-11-14,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0088,Britannia,small_printed,small,46638,2022-08-10,2022-07-16,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0089,Dabur India,medium_printed,medium,26192,2023-10-26,2023-09-23,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0090,ITC Foods,medium_std,medium,50275,2022-12-03,2022-10-21,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0091,Marico,small_printed,small,51218,2023-04-22,2023-03-29,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0092,ITC Foods,small_std,small,42578,2023-11-25,2023-11-06,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0093,Nestle India,large_premium,large,25452,2022-09-21,2022-08-29,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0094,Marico,small_std,small,18223,2022-02-13,2022-01-26,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0095,Nestle India,small_printed,small,67887,2023-05-20,2023-04-12,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0096,Dabur India,small_printed,small,20502,2023-06-11,2023-05-22,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0097,Marico,medium_std,medium,16735,2023-03-29,2023-03-12,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0098,Hindustan Unilever,medium_std,medium,62738,2023-09-06,2023-07-25,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0099,ITC Foods,small_printed,small,48459,2022-06-28,2022-05-17,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0100,Britannia,large_premium,large,68305,2023-11-01,2023-09-20,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0101,Marico,large_premium,large,57081,2022-07-12,2022-06-12,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0102,Marico,large_premium,large,24508,2022-10-10,2022-09-11,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0103,Godrej Consumer,small_printed,small,14594,2022-11-07,2022-10-09,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0104,Hindustan Unilever,large_std,large,39120,2022-10-28,2022-10-06,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO-2022-0105,Parle Products,medium_std,medium,27656,2022-07-01,2022-06-04,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0106,Marico,small_printed,small,32723,2022-04-16,2022-03-07,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0107,Britannia,medium_std,medium,62068,2022-03-20,2022-03-05,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0108,ITC Foods,small_printed,small,36695,2023-09-15,2023-08-13,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0109,Nestle India,small_printed,small,36292,2023-03-21,2023-02-04,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0110,Dabur India,large_std,large,33918,2022-09-20,2022-08-13,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO-2022-0111,Britannia,large_premium,large,78309,2023-01-04,2022-12-11,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0112,Dabur India,medium_std,medium,74626,2023-06-02,2023-04-24,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0113,Hindustan Unilever,medium_printed,medium,49251,2023-10-10,2023-08-30,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0114,Godrej Consumer,small_printed,small,16393,2022-06-26,2022-05-19,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0115,ITC Foods,medium_std,medium,54742,2023-01-09,2022-12-02,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0116,Hindustan Unilever,small_printed,small,32292,2022-11-25,2022-10-12,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0117,ITC Foods,large_premium,large,35455,2022-02-17,2022-01-20,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0118,Dabur India,small_std,small,85849,2023-11-12,2023-10-28,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0119,Parle Products,medium_std,medium,64544,2022-10-10,2022-09-11,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0120,Nestle India,small_printed,small,48583,2022-06-22,2022-05-10,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
