date,material_id,transaction_type,quantity,unit,supplier_id,unit_price,po_number,unit_raw
2022-01-03,M03,issue,65.43,rolls,,19316.72,,Rolls
2022-01-03,M02,receipt,385.73,rolls,SUP09,6220.55,PO-37160,rolls
2022-01-03,M08,return,83.39,kg,,37492.01,,kg
2022-01-03,M01,issue,89.33,rolls,,32483.64,,roll
2022-01-03,M03,issue,66.0,rolls,,41662.8,,rolls
2022-01-03,M13,issue,80.8,rolls,,13092.77,,Rolls
2022-01-03,M14,return,60.76,rolls,,5191.78,,rolls
2022-01-03,M07,writeoff,65.35,kg,,19918.63,,kg
2022-01-03,M01,issue,12.8,rolls,,44185.49,,rolls
2022-01-03,M03,issue,9.06,rolls,,872.83,,rolls
2022-01-03,M01,issue,36.42,rolls,,32789.05,,rolls
2022-01-03,M07,return,18.86,kg,,15292.76,,KG
2022-01-03,M09,issue,20.77,kg,,43292.61,,kg
2022-01-03,M05,issue,32.9,rolls,,28871.91,,rolls
2022-01-03,M11,issue,12.47,kg,,34077.12,,KG
2022-01-03,M09,issue,79.99,kg,,28200.9,,kg
2022-01-04,M03,issue,19.47,rolls,,18544.32,,rolls
2022-01-04,M11,issue,95.56,kg,,44883.4,,kg
2022-01-04,M06,writeoff,67.24,kg,,22077.47,,kg
2022-01-04,M11,issue,47.19,kg,,11364.64,,kg
2022-01-04,M09,receipt,13.81,kg,SUP09,2762.45,PO-56627,kg
2022-01-04,M08,return,44.66,kg,,23718.44,,kg
2022-01-04,M04,receipt,323.12,rolls,SUP02,36303.47,PO-46068,rolls
2022-01-04,M08,issue,38.13,kg,,40839.44,,kgs
2022-01-04,M10,issue,60.8,kg,,1962.36,,Kg
2022-01-04,M03,issue,32.09,rolls,,12232.7,,rolls
2022-01-04,M03,issue,84.86,rolls,,21427.42,,rolls
2022-01-04,M11,receipt,304.52,kg,SUP08,20591.75,PO-69047,kgs
2022-01-04,M09,issue,35.51,kg,,25679.96,,kg
2022-01-04,M03,return,69.98,rolls,,20930.49,,rolls
2022-01-04,M04,receipt,194.99,rolls,SUP06,3448.91,PO-88517,rolls
2022-01-04,M02,issue,90.2,rolls,,25783.52,,rolls
2022-01-04,M04,receipt,398.24,rolls,SUP05,43459.35,PO-24859,rolls
2022-01-04,M13,issue,87.27,rolls,,44590.36,,rolls
2022-01-04,M07,issue,53.09,kg,,26144.77,,kg
2022-01-04,M02,receipt,407.16,rolls,SUP03,24006.66,PO-70165,nos
2022-01-04,M13,issue,49.14,rolls,,23698.34,,rolls
2022-01-04,M11,issue,60.35,kg,,44481.78,,kg
2022-01-04,M05,return,8.95,rolls,,37415.49,,rolls
2022-01-04,M04,issue,17.31,rolls,,24010.23,,Rolls
2022-01-05,M08,issue,59.84,kg,,8402.74,,kg
2022-01-05,M03,issue,48.01,rolls,,14356.9,,rolls
2022-01-05,M04,issue,25.73,rolls,,10691.24,,roll
2022-01-05,M01,return,59.85,rolls,,27990.42,,rolls
2022-01-05,M01,return,34.68,rolls,,25131.16,,rolls
2022-01-05,M07,return,41.19,kg,,14780.5,,kg
2022-01-05,M13,return,2.84,rolls,,23710.61,,rolls
2022-01-05,M02,issue,42.94,rolls,,43184.52,,rolls
2022-01-05,M07,issue,41.91,kg,,19239.3,,kg
2022-01-05,M11,issue,37.84,kg,,6445.02,,kilograms
2022-01-05,M09,issue,66.11,kg,,40757.25,,kg
2022-01-05,M09,receipt,386.85,kg,SUP03,38297.01,PO-46391,Kg
2022-01-05,M10,issue,83.79,kg,,4334.89,,kg
2022-01-05,M01,receipt,187.21,rolls,SUP01,10468.4,PO-83435,rolls
2022-01-05,M01,return,46.33,rolls,,38923.5,,rolls
2022-01-05,M03,issue,81.86,rolls,,36743.01,,rolls
2022-01-05,M10,receipt,238.33,kg,SUP03,39323.36,PO-22898,kg
2022-01-05,M07,issue,23.55,kg,,4476.08,,kg
2022-01-05,M07,receipt,396.3,kg,SUP09,37045.52,PO-88636,KG
2022-01-05,M09,receipt,454.88,kg,SUP08,27314.54,PO-49192,kg
2022-01-05,M09,receipt,395.69,kg,SUP03,11133.16,PO-93932,KG
2022-01-05,M14,return,50.14,rolls,,36528.38,,rolls
2022-01-05,M03,issue,39.92,rolls,,40763.32,,rolls
2022-01-05,M09,return,9.2,kg,,28259.57,,kg
2022-01-05,M09,receipt,130.27,kg,SUP02,17148.32,PO-33365,kgs
2022-01-05,M12,receipt,227.96,kg,SUP03,6876.2,PO-35311,kg
2022-01-05,M13,return,19.85,rolls,,24454.55,,rolls
2022-01-06,M02,issue,29.65,rolls,,19086.93,,rolls
2022-01-06,M08,issue,8.78,kg,,2748.84,,kg
2022-01-06,M09,issue,18.02,kg,,901.73,,kg
2022-01-06,M02,return,16.38,rolls,,22381.51,,rolls
2022-01-06,M05,issue,83.82,rolls,,857.98,,Rolls
2022-01-06,M07,issue,59.61,kg,,8526.68,,kg
2022-01-06,M01,issue,83.67,rolls,,41856.37,,rolls
2022-01-06,M08,issue,31.58,kg,,38704.56,,kg
2022-01-06,M06,return,41.87,kg,,922.79,,kgs
2022-01-06,M03,issue,84.35,rolls,,28431.31,,nos
2022-01-06,M08,issue,47.61,kg,,31686.06,,kg
2022-01-06,M02,receipt,249.26,rolls,SUP06,41800.66,PO-58287,rolls
2022-01-06,M03,receipt,31.92,rolls,SUP07,39440.77,PO-26580,rolls
2022-01-06,M14,return,15.07,rolls,,41169.37,,rolls
2022-01-06,M13,issue,41.27,rolls,,20999.78,,rolls
2022-01-06,M02,issue,7.3,rolls,,28463.04,,rolls
2022-01-06,M05,issue,27.71,rolls,,32152.89,,rolls
2022-01-06,M12,issue,48.89,kg,,35170.66,,kg
2022-01-06,M13,issue,69.53,rolls,,31054.47,,rolls
2022-01-06,M10,issue,10.6,kg,,2704.76,,kg
2022-01-06,M14,issue,95.62,rolls,,38862.65,,rolls
2022-01-06,M03,issue,1.34,rolls,,31261.66,,rolls
2022-01-06,M05,issue,48.41,rolls,,31095.62,,roll
2022-01-06,M07,return,61.71,kg,,27447.21,,kg
2022-01-07,M04,issue,16.53,rolls,,30666.65,,rolls
2022-01-07,M08,issue,41.3,kg,,37267.32,,kg
2022-01-07,M09,issue,91.82,kg,,31861.2,,kg
2022-01-07,M13,issue,53.33,rolls,,34880.74,,rolls
2022-01-07,M07,receipt,27.34,kg,SUP02,961.94,PO-17485,kg
2022-01-07,M11,issue,76.1,kg,,5968.48,,kg
2022-01-07,M03,return,28.29,rolls,,29026.26,,rolls
2022-01-07,M13,issue,67.0,rolls,,28527.77,,rolls
2022-01-07,M10,issue,6.31,kg,,15705.96,,kg
2022-01-07,M13,issue,78.4,rolls,,36975.49,,rolls
2022-01-07,M08,receipt,54.62,kg,SUP03,33963.04,PO-27355,kg
2022-01-07,M14,issue,98.97,rolls,,41449.48,,rolls
2022-01-07,M01,issue,41.11,rolls,,29602.17,,rolls
2022-01-07,M14,receipt,426.46,rolls,SUP05,6255.44,PO-63923,rolls
2022-01-07,M13,issue,17.23,rolls,,19915.91,,roll
2022-01-07,M09,issue,88.33,kg,,28301.94,,kg
2022-01-07,M01,issue,18.24,rolls,,1717.38,,rolls
2022-01-07,M06,issue,41.61,kg,,43701.54,,kg
2022-01-07,M12,return,47.88,kg,,2738.48,,kg
2022-01-07,M03,issue,62.58,rolls,,21788.24,,rolls
2022-01-07,M08,issue,65.92,kg,,38982.47,,kilograms
2022-01-07,M09,return,76.4,kg,,11866.43,,kg
2022-01-07,M07,receipt,229.3,kg,SUP04,40414.45,PO-27541,kg
2022-01-07,M08,receipt,333.3,kg,SUP08,3847.25,PO-78646,kg
2022-01-07,M03,receipt,351.6,rolls,SUP08,10219.46,PO-37928,rolls
2022-01-07,M14,receipt,161.4,rolls,SUP05,37782.28,PO-28606,rolls
2022-01-07,M06,issue,62.72,kg,,14939.12,,kg
2022-01-07,M03,issue,94.31,rolls,,16227.73,,rolls
2022-01-07,M14,issue,77.41,rolls,,9086.87,,rolls
2022-01-07,M11,issue,78.92,kg,,13051.54,,kilograms
2022-01-07,M08,issue,88.62,kg,,29519.58,,kg
2022-01-08,M11,issue,72.71,kg,,34861.91,,kilograms
2022-01-08,M14,return,21.83,rolls,,23818.63,,rolls
2022-01-08,M03,issue,60.88,rolls,,24042.86,,nos
2022-01-08,M14,return,38.69,rolls,,30046.16,,rolls
2022-01-08,M11,issue,7.57,kg,,40492.25,,kg
2022-01-08,M06,issue,80.06,kg,,43410.52,,kg
2022-01-08,M12,receipt,206.14,kg,SUP09,44802.63,PO-60504,kg
2022-01-08,M04,issue,93.04,rolls,,5662.47,,rolls
2022-01-08,M09,receipt,217.36,kg,SUP01,14616.55,PO-71174,kg
2022-01-08,M10,return,65.29,kg,,14963.31,,kg
2022-01-08,M05,return,5.1,rolls,,28824.89,,rolls
2022-01-08,M05,issue,27.04,rolls,,33453.12,,rolls
2022-01-08,M06,writeoff,77.43,kg,,44726.86,,kg
2022-01-08,M07,return,96.24,kg,,42000.07,,kg
2022-01-08,M07,writeoff,12.1,kg,,34641.15,,kilograms
2022-01-08,M10,issue,85.69,kg,,27868.71,,kg
2022-01-08,M06,issue,7.03,kg,,9972.65,,kg
2022-01-08,M12,issue,92.85,kg,,24583.11,,kgs
2022-01-08,M14,issue,88.57,rolls,,31829.17,,rolls
2022-01-08,M13,issue,64.32,rolls,,43077.41,,rolls
2022-01-08,M11,issue,27.3,kg,,23380.88,,kg
2022-01-08,M04,issue,87.63,rolls,,22067.42,,rolls
2022-01-08,M09,receipt,307.11,kg,SUP03,27207.1,PO-36739,kg
2022-01-08,M08,issue,98.4,kg,,26040.82,,kg
2022-01-08,M13,issue,5.26,rolls,,17245.14,,rolls
2022-01-08,M03,issue,68.76,rolls,,5596.78,,roll
2022-01-08,M06,return,54.97,kg,,37233.25,,Kg
2022-01-08,M13,receipt,20.3,rolls,SUP04,38738.11,PO-81568,rolls
2022-01-08,M09,issue,15.11,kg,,11893.46,,kg
2022-01-08,M14,issue,62.4,rolls,,8963.86,,rolls
2022-01-08,M07,issue,23.53,kg,,12555.42,,kg
2022-01-08,M01,issue,81.53,rolls,,28054.66,,rolls
2022-01-08,M09,issue,37.53,kg,,27210.88,,kg
2022-01-08,M05,issue,69.96,rolls,,19552.22,,rolls
2022-01-09,M10,receipt,60.79,kg,SUP06,9330.66,PO-93481,kg
2022-01-09,M14,issue,47.41,rolls,,10435.67,,roll
2022-01-09,M01,receipt,413.26,rolls,SUP01,4502.08,PO-37741,rolls
2022-01-09,M03,receipt,83.31,rolls,SUP07,38539.25,PO-39235,rolls
2022-01-09,M08,issue,52.8,kg,,28371.74,,KG
2022-01-09,M10,issue,45.51,kg,,4594.32,,kg
2022-01-09,M08,return,44.26,kg,,17595.37,,kg
2022-01-09,M03,issue,41.77,rolls,,31483.83,,rolls
2022-01-09,M05,issue,46.71,rolls,,13737.52,,rolls
2022-01-09,M13,issue,52.69,rolls,,36509.79,,rolls
2022-01-09,M12,issue,89.89,kg,,11928.45,,kg
2022-01-09,M13,issue,60.17,rolls,,24090.19,,rolls
2022-01-09,M05,issue,21.64,rolls,,42066.31,,rolls
2022-01-09,M03,issue,20.36,rolls,,34942.11,,rolls
2022-01-09,M03,issue,18.96,rolls,,24173.17,,rolls
2022-01-09,M10,issue,30.01,kg,,4129.07,,kg
2022-01-09,M13,issue,38.21,rolls,,17250.71,,rolls
2022-01-09,M04,issue,83.02,rolls,,22600.78,,rolls
2022-01-09,M10,receipt,278.44,kg,SUP07,35012.2,PO-42393,kg
2022-01-09,M03,issue,19.46,rolls,,14106.54,,rolls
2022-01-09,M14,issue,61.43,rolls,,31753.04,,rolls
2022-01-09,M07,return,94.31,kg,,27920.23,,KG
2022-01-09,M02,return,43.67,rolls,,31018.41,,pcs
2022-01-09,M01,issue,18.05,rolls,,25867.79,,rolls
2022-01-09,M05,return,69.0,rolls,,30077.7,,rolls
2022-01-10,M05,issue,42.67,rolls,,1936.55,,rolls
2022-01-10,M14,receipt,470.08,rolls,SUP06,2635.87,PO-30164,rolls
2022-01-10,M08,issue,67.41,kg,,30594.83,,kg
2022-01-10,M02,issue,91.94,rolls,,8599.56,,nos
2022-01-10,M09,issue,81.8,kg,,37804.98,,kg
2022-01-10,M02,issue,23.42,rolls,,9740.67,,rolls
2022-01-10,M09,receipt,404.28,kg,SUP03,40413.5,PO-25429,kg
2022-01-10,M08,receipt,138.15,kg,SUP06,39314.18,PO-13615,kg
2022-01-10,M10,issue,64.84,kg,,39549.15,,kg
2022-01-10,M07,return,42.89,kg,,16594.42,,kg
2022-01-10,M10,issue,58.1,kg,,22416.69,,kg
2022-01-10,M10,issue,35.98,kg,,16692.51,,kg
2022-01-10,M07,receipt,317.76,kg,SUP06,18762.1,PO-41883,kg
2022-01-10,M11,issue,89.63,kg,,34500.96,,kg
2022-01-10,M02,issue,9.39,rolls,,40514.14,,rolls
2022-01-10,M05,receipt,150.64,rolls,SUP05,23893.62,PO-90622,rolls
2022-01-10,M10,issue,92.6,kg,,2408.3,,kg
2022-01-10,M08,issue,57.99,kg,,7429.86,,kg
2022-01-10,M05,issue,50.72,rolls,,26612.55,,rolls
2022-01-10,M01,issue,91.77,rolls,,33279.99,,rolls
2022-01-10,M04,issue,14.78,rolls,,3277.73,,rolls
2022-01-10,M12,writeoff,85.7,kg,,8530.93,,kg
2022-01-10,M01,return,36.29,rolls,,4825.53,,rolls
2022-01-10,M08,return,43.81,kg,,35038.2,,kg
2022-01-10,M14,receipt,315.32,rolls,SUP01,37301.19,PO-53554,rolls
2022-01-10,M03,receipt,103.65,rolls,SUP08,31135.31,PO-29449,rolls
2022-01-10,M08,issue,34.64,kg,,19616.8,,kg
2022-01-10,M10,issue,64.95,kg,,27382.69,,Kg
2022-01-10,M06,issue,74.05,kg,,20700.25,,kg
2022-01-10,M13,receipt,220.95,rolls,SUP09,21769.4,PO-60262,rolls
2022-01-10,M12,issue,65.53,kg,,17778.68,,kg
2022-01-10,M04,receipt,294.63,rolls,SUP07,44809.07,PO-20084,rolls
2022-01-10,M01,receipt,105.83,rolls,SUP05,4687.17,PO-36938,roll
2022-01-11,M13,issue,21.79,rolls,,14169.94,,rolls
2022-01-11,M05,issue,69.19,rolls,,31167.63,,rolls
2022-01-11,M09,return,89.11,kg,,40450.24,,kg
2022-01-11,M03,issue,79.6,rolls,,38232.56,,rolls
2022-01-11,M12,writeoff,98.12,kg,,40031.19,,kg
2022-01-11,M05,issue,96.13,rolls,,25942.29,,Rolls
2022-01-11,M12,issue,80.49,kg,,29224.02,,kilograms
2022-01-11,M13,return,80.81,rolls,,15238.68,,pcs
2022-01-11,M07,receipt,432.89,kg,SUP06,20488.19,PO-87911,kg
2022-01-11,M05,issue,92.82,rolls,,33778.85,,rolls
2022-01-11,M11,issue,57.4,kg,,23501.79,,kg
2022-01-11,M05,issue,10.07,rolls,,22252.08,,pcs
2022-01-11,M07,issue,84.42,kg,,36899.23,,kg
2022-01-11,M04,issue,11.44,rolls,,20293.19,,rolls
2022-01-11,M01,issue,93.92,rolls,,1427.7,,rolls
2022-01-11,M06,issue,31.99,kg,,5033.46,,kg
2022-01-11,M14,receipt,57.19,rolls,SUP08,13134.73,PO-32179,rolls
2022-01-11,M06,issue,86.64,kg,,21299.94,,kg
2022-01-11,M10,issue,14.18,kg,,36480.45,,kg
2022-01-11,M07,return,24.69,kg,,31343.76,,kg
2022-01-11,M09,issue,95.3,kg,,27451.07,,kg
2022-01-11,M03,issue,89.89,rolls,,13319.03,,rolls
2022-01-11,M01,issue,63.27,rolls,,14440.04,,rolls
2022-01-12,M04,issue,79.67,rolls,,2595.05,,rolls
2022-01-12,M12,issue,12.33,kg,,13660.45,,KG
2022-01-12,M06,writeoff,99.54,kg,,35532.74,,kg
2022-01-12,M02,issue,94.21,rolls,,19471.56,,rolls
2022-01-12,M10,issue,97.86,kg,,18544.24,,kg
2022-01-12,M13,issue,48.65,rolls,,40634.35,,rolls
2022-01-12,M11,receipt,264.5,kg,SUP08,11062.41,PO-67445,kg
2022-01-12,M13,issue,52.55,rolls,,29445.99,,rolls
2022-01-12,M14,issue,55.24,rolls,,28132.42,,rolls
2022-01-12,M03,issue,22.32,rolls,,2183.8,,pcs
2022-01-12,M01,issue,79.84,rolls,,8844.0,,rolls
2022-01-12,M14,return,61.18,rolls,,44345.98,,rolls
2022-01-12,M12,issue,29.67,kg,,36830.41,,kg
2022-01-12,M04,issue,50.53,rolls,,2564.68,,rolls
2022-01-12,M06,return,66.54,kg,,22558.63,,kg
2022-01-12,M06,receipt,100.59,kg,SUP06,13402.13,PO-22829,kg
2022-01-12,M12,issue,65.4,kg,,33285.91,,kg
2022-01-12,M05,issue,84.7,rolls,,24343.47,,rolls
2022-01-12,M11,return,71.05,kg,,26073.29,,kilograms
2022-01-13,M05,receipt,250.56,rolls,SUP07,12772.23,PO-15456,rolls
2022-01-13,M01,receipt,97.38,rolls,SUP04,8617.89,PO-27177,rolls
2022-01-13,M11,issue,89.05,kg,,20348.04,,kg
2022-01-13,M08,receipt,291.22,kg,SUP09,20861.19,PO-36656,kg
2022-01-13,M11,receipt,456.82,kg,SUP02,11266.8,PO-39181,kg
2022-01-13,M07,issue,39.81,kg,,29946.09,,kg
2022-01-13,M05,issue,20.6,rolls,,3857.13,,rolls
2022-01-13,M13,issue,72.96,rolls,,14405.33,,rolls
2022-01-13,M06,issue,87.5,kg,,24808.22,,kg
2022-01-13,M08,issue,18.22,kg,,31855.11,,kilograms
2022-01-13,M13,issue,60.62,rolls,,21747.93,,rolls
2022-01-13,M12,return,56.42,kg,,29732.21,,kg
2022-01-13,M02,return,58.97,rolls,,14207.81,,rolls
2022-01-13,M01,return,55.53,rolls,,5173.88,,rolls
2022-01-13,M08,issue,70.94,kg,,19735.75,,kg
2022-01-13,M06,receipt,141.42,kg,SUP03,6532.15,PO-80399,kg
2022-01-13,M14,issue,47.8,rolls,,19240.62,,rolls
2022-01-13,M03,issue,20.17,rolls,,19669.49,,rolls
2022-01-13,M04,issue,12.47,rolls,,34578.21,,rolls
2022-01-13,M03,issue,98.49,rolls,,21213.98,,rolls
2022-01-13,M07,writeoff,69.39,kg,,32643.07,,kg
2022-01-13,M11,issue,72.69,kg,,6124.4,,kg
2022-01-14,M10,receipt,479.92,kg,SUP05,32177.66,PO-72805,kg
2022-01-14,M05,issue,68.72,rolls,,27833.9,,Rolls
2022-01-14,M02,issue,7.99,rolls,,29624.07,,rolls
2022-01-14,M13,issue,49.31,rolls,,22037.63,,rolls
2022-01-14,M11,return,37.83,kg,,44235.01,,kg
2022-01-14,M11,issue,4.98,kg,,36981.6,,kg
2022-01-14,M02,issue,26.22,rolls,,3510.38,,rolls
2022-01-14,M14,issue,21.66,rolls,,29564.92,,rolls
2022-01-14,M02,issue,67.8,rolls,,31863.16,,rolls
2022-01-14,M06,issue,15.74,kg,,25323.18,,kgs
2022-01-14,M04,issue,49.39,rolls,,5695.78,,nos
2022-01-14,M12,return,36.52,kg,,41965.43,,kg
2022-01-14,M06,issue,64.1,kg,,16644.02,,kilograms
2022-01-14,M01,receipt,337.4,rolls,SUP01,20722.92,PO-78033,pcs
2022-01-14,M04,issue,80.22,rolls,,23561.83,,rolls
2022-01-14,M07,receipt,80.68,kg,SUP01,41176.02,PO-25056,kg
2022-01-14,M06,issue,63.04,kg,,25692.57,,kg
2022-01-14,M03,receipt,294.58,rolls,SUP06,26603.77,PO-17400,rolls
2022-01-14,M01,issue,16.45,rolls,,44018.82,,roll
2022-01-14,M14,return,69.57,rolls,,29385.57,,rolls
2022-01-14,M05,receipt,397.09,rolls,SUP08,4600.45,PO-82951,rolls
2022-01-14,M04,issue,28.39,rolls,,22554.9,,rolls
2022-01-14,M13,issue,82.15,rolls,,9408.29,,rolls
2022-01-14,M13,issue,5.9,rolls,,17828.53,,Rolls
2022-01-14,M07,return,4.0,kg,,14798.25,,kg
2022-01-14,M05,issue,74.67,rolls,,23124.97,,rolls
2022-01-14,M14,issue,27.05,rolls,,23367.62,,nos
2022-01-14,M10,issue,45.36,kg,,23024.39,,kg
2022-01-15,M12,issue,66.81,kg,,2464.53,,kg
2022-01-15,M08,receipt,108.71,kg,SUP06,34991.58,PO-98973,kg
2022-01-15,M01,issue,90.06,rolls,,3886.61,,pcs
2022-01-15,M12,receipt,112.96,kg,SUP04,25644.06,PO-40824,kg
2022-01-15,M06,receipt,440.79,kg,SUP09,19000.73,PO-73806,kg
2022-01-15,M10,receipt,426.0,kg,SUP03,31113.42,PO-94172,Kg
2022-01-15,M03,issue,41.07,rolls,,10032.68,,roll
2022-01-15,M04,receipt,160.37,rolls,SUP09,37847.74,PO-18591,rolls
2022-01-15,M05,issue,76.21,rolls,,10112.3,,rolls
2022-01-15,M03,issue,88.07,rolls,,2785.81,,rolls
2022-01-15,M04,issue,82.96,rolls,,42672.54,,roll
2022-01-15,M09,issue,17.19,kg,,6258.8,,kg
2022-01-15,M11,issue,38.06,kg,,34675.69,,kg
2022-01-15,M02,receipt,340.81,rolls,SUP03,24236.41,PO-47368,rolls
2022-01-15,M06,issue,76.37,kg,,3494.41,,KG
2022-01-15,M10,receipt,219.32,kg,SUP07,32214.7,PO-52010,kg
2022-01-15,M06,receipt,113.23,kg,SUP03,18250.84,PO-32124,kg
2022-01-15,M13,receipt,309.89,rolls,SUP06,16347.86,PO-45750,rolls
2022-01-15,M01,issue,86.18,rolls,,44048.27,,rolls
2022-01-16,M06,issue,12.13,kg,,21327.95,,kg
2022-01-16,M13,issue,2.04,rolls,,15171.69,,rolls
2022-01-16,M02,issue,81.57,rolls,,6119.6,,rolls
2022-01-16,M08,receipt,14.8,kg,SUP06,13163.95,PO-81745,kg
2022-01-16,M06,issue,9.6,kg,,22843.97,,kilograms
2022-01-16,M06,writeoff,62.97,kg,,38723.33,,kg
2022-01-16,M13,receipt,243.19,rolls,SUP04,31755.48,PO-74241,rolls
2022-01-16,M14,receipt,29.62,rolls,SUP05,42727.79,PO-43802,rolls
2022-01-16,M13,issue,70.34,rolls,,23198.6,,rolls
2022-01-16,M10,return,6.8,kg,,23813.29,,kg
2022-01-16,M01,issue,91.9,rolls,,29530.52,,rolls
2022-01-16,M03,issue,71.93,rolls,,14063.9,,rolls
2022-01-16,M01,issue,15.91,rolls,,7988.02,,rolls
2022-01-16,M03,return,77.19,rolls,,41651.77,,rolls
2022-01-16,M14,issue,66.98,rolls,,29909.64,,pcs
2022-01-16,M06,issue,20.27,kg,,5922.51,,kg
2022-01-16,M06,writeoff,8.55,kg,,11331.96,,kg
2022-01-16,M10,issue,56.59,kg,,23439.9,,kg
2022-01-16,M07,return,41.37,kg,,29266.01,,kg
2022-01-17,M13,issue,29.25,rolls,,40589.53,,rolls
2022-01-17,M03,receipt,96.58,rolls,SUP06,18393.3,PO-46347,Rolls
2022-01-17,M07,writeoff,4.57,kg,,16984.3,,kg
2022-01-17,M01,issue,40.63,rolls,,16476.9,,rolls
2022-01-17,M01,issue,59.81,rolls,,1178.49,,rolls
2022-01-17,M10,issue,40.11,kg,,13646.15,,kg
2022-01-17,M08,issue,72.94,kg,,6936.81,,kg
2022-01-17,M14,issue,8.75,rolls,,8796.71,,rolls
2022-01-17,M05,issue,58.89,rolls,,4017.57,,rolls
2022-01-17,M02,issue,72.6,rolls,,14819.78,,nos
2022-01-17,M12,receipt,418.27,kg,SUP06,19740.68,PO-38039,kilograms
2022-01-17,M01,issue,59.77,rolls,,24545.11,,rolls
2022-01-17,M05,issue,62.62,rolls,,1032.56,,rolls
2022-01-17,M03,issue,30.59,rolls,,31111.01,,pcs
2022-01-17,M04,issue,75.28,rolls,,39041.72,,rolls
2022-01-17,M04,receipt,67.66,rolls,SUP01,6928.46,PO-60071,rolls
2022-01-17,M07,return,55.26,kg,,43413.63,,kg
2022-01-17,M05,issue,19.5,rolls,,42946.08,,rolls
2022-01-18,M08,issue,42.06,kg,,26347.63,,kg
2022-01-18,M14,issue,18.15,rolls,,8724.94,,rolls
2022-01-18,M01,receipt,167.29,rolls,SUP03,27866.74,PO-48501,rolls
